N (kg/ha),P (kg/ha),K (kg/ha),Fertilizer A (kg/ha),Fertilizer B (kg/ha),Crop Yield (tons/ha),Soil Type,"Climate (Temp °C, Rainfall mm)"
48.19,46.59,73.66,42.34,71.22,6.85,Sandy Loam,"(23.60058625730568, 147.06698515090744)"
49.92,40.62,62.3,78.05,65.49,6.43,Loam,"(18.45949759149413, 354.01475340319905)"
35.45,20.05,38.33,78.05,46.19,7.25,Silty Clay Loam,"(30.62798867467002, 247.81882336293182)"
54.37,27.79,50.1,57.69,50.45,5.2,Clayey Loam,"(17.744249672900445, 238.07277608309633)"
54.55,36.08,48.18,140.73,22.5,6.63,Sandy Loam,"(19.82356684197277, 179.92061135544833)"
49.69,24.73,33.01,108.98,64.76,6.71,Silty Clay,"(17.232033794125254, 160.2276610709718)"
34.64,48.67,37.33,54.46,95.7,5.1,Sandy Clay Loam,"(17.625804224781074, 273.4296466253833)"
52.03,15.73,43.03,104.96,32.72,5.85,Sandy Loam,"(16.999729569682646, 138.8952967302333)"
42.93,17.65,59.85,124.56,92.39,6.11,Sandy,"(22.221120341357352, 228.87759157485266)"
46.01,34.49,42.5,45.81,91.64,8.13,Sandy Clay Loam,"(18.603601632881684, 187.14774946064713)"
36.56,42.1,70.91,94.33,24.11,7.59,Silty Clay,"(22.98480819429911, 494.672941021928)"
37.34,29.38,47.67,57.43,33.7,4.08,Sandy Clay Loam,"(19.685244300663477, 302.68622923894634)"
60.76,43.43,30.1,96.83,90.72,5.8,Clayey Loam,"(26.45337253676322, 121.47648142133669)"
38.36,19.06,74.16,40.17,97.26,7.55,Loam,"(22.021019532379846, 486.62584612995823)"
62.89,16.19,30.31,124.15,95.28,6.32,Silty Clay Loam,"(17.57341609217994, 247.19659124336894)"
42.86,42.51,71.79,102.48,25.59,5.81,Loam,"(20.72865264079082, 269.95928548880465)"
39.88,33.92,43.27,116.82,63.86,7.55,Clayey Loam,"(30.752225938128586, 375.9319186798715)"
53.17,36.45,56.05,139.11,51.51,5.98,Clayey Loam,"(26.28338505009504, 186.57034328871504)"
53.03,46.0,36.63,67.38,88.24,5.95,Sandy Loam,"(26.29049544738841, 478.77369326744355)"
44.82,44.78,57.66,119.04,27.2,6.33,Loam,"(27.002973999550065, 498.2984452241182)"
48.25,34.87,69.67,95.54,42.17,7.56,Sandy Clay Loam,"(16.865868596010927, 209.7689568846024)"
68.42,38.27,62.57,101.14,30.24,7.95,Sandy,"(17.402088029853054, 290.9105592574833)"
57.46,47.69,55.7,132.01,63.02,7.23,Sandy Clay Loam,"(21.561743949034785, 300.8217584818848)"
53.19,17.24,41.06,126.51,74.61,7.65,Loam,"(29.899062318355412, 147.61952340820912)"
48.97,30.57,73.64,145.03,68.7,7.45,Silty Clay,"(25.224138437389485, 271.95588453882544)"
37.08,33.72,58.77,72.55,22.49,5.13,Silty Clay,"(22.80272592908991, 427.5993871073989)"
66.1,37.27,44.86,104.55,71.09,6.1,Clayey Loam,"(30.62511286171777, 244.3983158907879)"
33.13,47.5,38.34,62.01,46.42,8.1,Silty Clay,"(17.17864496011095, 228.22612415964983)"
41.12,16.73,31.75,66.36,86.73,4.33,Sandy,"(15.47626916144525, 403.2782583361548)"
38.64,22.93,26.66,50.44,55.96,7.38,Silty Clay Loam,"(15.995857823173587, 382.7029527470961)"
44.92,46.61,54.32,42.84,81.96,6.04,Silty Clay,"(21.86519978054909, 234.35069260824372)"
44.31,22.27,60.78,69.73,58.9,5.81,Loam,"(15.31371038866833, 423.40510023316324)"
56.35,24.35,68.11,60.52,44.08,5.43,Loam,"(25.159094674448752, 210.97369866855047)"
35.56,45.12,70.47,44.24,34.32,8.44,Silty Clay Loam,"(21.552235336578818, 420.25233909022785)"
50.46,32.06,64.75,90.22,33.56,4.68,Silty Clay,"(17.264926108588764, 490.02476609252403)"
40.45,47.58,49.08,59.76,58.0,5.88,Clayey Loam,"(17.179545515842044, 373.34747611229034)"
42.27,26.06,52.54,77.8,67.18,7.29,Sandy Clay Loam,"(23.45596942232753, 460.4857583521656)"
45.24,30.65,73.86,99.24,20.18,5.24,Loam,"(24.431294806906614, 423.7982461415274)"
60.41,39.01,50.14,89.88,62.75,4.01,Sandy,"(25.49415770128215, 461.76440057811834)"
55.1,18.46,49.77,125.44,85.03,7.98,Loam,"(30.790590363427214, 396.82033656551914)"
53.58,39.67,52.97,86.25,82.22,6.9,Sandy,"(26.196224962315526, 132.10773519238649)"
30.87,46.69,42.66,146.46,77.36,4.9,Sandy Clay Loam,"(20.880328508412344, 292.21745026077315)"
52.29,24.85,29.82,42.99,36.52,5.35,Silty Clay,"(31.182866506535063, 455.8711397290442)"
52.74,47.6,71.45,93.51,67.43,7.53,Sandy Clay Loam,"(31.421307917129162, 470.361163291346)"
41.58,37.74,66.28,141.4,53.26,7.2,Sandy Clay Loam,"(22.423385830131426, 259.28101692760265)"
36.21,38.65,48.45,57.12,77.0,5.62,Sandy Clay Loam,"(26.362680559909613, 471.0115598584656)"
48.93,39.02,33.21,112.4,76.78,7.86,Loam,"(25.538755502425623, 386.03293233428195)"
47.6,41.35,60.42,72.39,97.82,7.77,Loam,"(29.20437146126772, 448.3850026055704)"
31.51,40.57,69.0,69.32,27.85,7.59,Silty Clay,"(24.861057957633886, 417.59835598328175)"
35.95,28.99,25.89,124.58,70.74,6.7,Silty Clay,"(26.66259100978006, 235.61838475203007)"
56.15,49.43,68.12,50.49,22.84,7.64,Clayey Loam,"(18.76547999074491, 202.53313070158302)"
42.25,29.98,25.34,121.92,64.8,5.69,Silty Clay,"(15.507962021342788, 458.3042208849161)"
40.99,18.9,58.6,148.11,95.7,7.89,Clayey Loam,"(18.649259498294498, 412.887664860293)"
47.89,17.66,45.19,141.9,45.16,7.73,Sandy,"(19.568243102265775, 349.7204263580933)"
56.86,29.08,68.43,59.31,29.97,6.91,Loam,"(27.508926592073372, 151.30665863525934)"
45.33,49.69,62.74,60.68,79.5,8.15,Silty Clay Loam,"(29.483093144192814, 308.22274405217615)"
62.1,15.09,38.27,62.17,36.68,4.6,Sandy Clay Loam,"(26.369794196025026, 402.825833895158)"
66.23,46.32,53.74,112.63,29.41,6.87,Loam,"(16.745573399343215, 205.08682285415227)"
68.02,17.05,37.8,79.75,86.76,4.59,Silty Clay,"(16.706773947296657, 459.25974843468305)"
47.35,41.57,32.58,106.37,90.72,6.6,Sandy Loam,"(31.883728004472, 234.9602129053642)"
41.93,37.24,70.76,137.2,56.23,8.19,Clayey Loam,"(20.994554045774816, 440.542185311799)"
42.05,28.7,73.04,113.89,31.14,5.48,Silty Clay,"(21.1380406430226, 204.73749342672707)"
51.88,20.07,72.34,124.36,94.23,4.61,Sandy Loam,"(31.930858171725053, 259.6303690988391)"
66.85,38.29,25.37,115.49,61.85,6.4,Silty Clay Loam,"(17.99841970930221, 251.8325851732115)"
51.19,21.88,31.0,83.56,58.01,7.22,Sandy Loam,"(15.795775944423376, 245.37265499189306)"
41.87,49.3,31.61,138.43,58.02,4.51,Loam,"(16.33471298010016, 415.3289715873405)"
65.56,26.67,49.51,54.56,79.04,8.25,Clayey Loam,"(25.954958187922372, 495.36532892532017)"
44.71,18.52,38.48,81.19,77.54,4.83,Silty Clay,"(16.100587916507997, 194.70916505558955)"
54.03,41.4,48.9,113.07,68.56,7.84,Sandy,"(25.473302109603594, 296.04854192818794)"
37.31,47.13,44.13,55.17,94.84,8.32,Silty Clay Loam,"(21.22298422160382, 410.0141655938681)"
56.85,49.81,44.07,109.81,42.19,5.59,Sandy Clay Loam,"(23.646575373023254, 153.64993942918696)"
57.63,37.56,48.17,87.35,28.73,4.31,Silty Clay,"(27.2348646107652, 175.4259694567652)"
34.7,15.78,69.72,82.84,98.33,5.38,Silty Clay Loam,"(17.512265731295532, 205.87192989348216)"
31.63,23.27,73.99,138.43,90.7,5.88,Silty Clay Loam,"(19.222358231784717, 148.22726576029436)"
68.0,37.23,55.15,116.78,61.43,8.21,Sandy Clay Loam,"(30.525629651584453, 424.2480388894782)"
32.23,17.45,60.97,109.06,23.31,7.16,Clayey Loam,"(27.666905970321643, 359.0002656957165)"
46.13,42.49,52.44,45.71,20.81,5.84,Sandy,"(22.411116825344887, 188.8485722132128)"
32.34,43.79,40.76,89.23,95.2,8.39,Sandy Clay Loam,"(27.75309734684437, 280.27978186632083)"
46.1,22.93,41.03,83.03,73.08,4.14,Sandy,"(30.37925141709303, 125.68122409376933)"
61.86,46.08,35.55,84.45,64.88,4.69,Sandy,"(17.748777487244432, 244.15113323977326)"
33.67,45.92,67.96,84.15,39.95,7.9,Clayey Loam,"(25.782575550151922, 304.34742001294063)"
46.48,16.19,32.05,110.75,80.66,4.73,Clayey Loam,"(22.948516030217036, 361.5211883128629)"
52.85,40.64,47.58,136.09,62.91,6.4,Silty Clay Loam,"(28.881446422783544, 281.5032113993218)"
30.46,41.82,41.32,71.2,55.68,8.0,Loam,"(26.588092686847066, 406.2157214975586)"
69.42,41.19,51.98,89.72,37.52,5.18,Sandy,"(28.583615683928997, 418.95830934151286)"
62.03,23.43,47.52,139.14,25.89,6.65,Loam,"(21.72482481009464, 332.6242304521543)"
50.9,40.15,66.58,44.74,22.52,4.4,Clayey Loam,"(25.747072094086395, 462.61867385822507)"
64.68,16.64,74.01,56.36,46.31,4.02,Sandy Loam,"(28.553990697024577, 444.0475585860021)"
68.61,22.15,65.33,104.78,97.06,8.01,Clayey Loam,"(22.035088685481906, 350.9758349913627)"
33.43,19.59,45.08,105.03,91.62,8.19,Silty Clay,"(30.47673519205427, 399.9372884887062)"
30.84,21.59,41.94,112.57,70.74,6.2,Loam,"(16.88766385122929, 153.06185560234104)"
44.86,45.21,71.28,133.03,94.24,4.3,Silty Clay,"(31.250926441264088, 217.7668530706561)"
61.65,26.37,44.72,129.01,39.95,8.1,Sandy Clay Loam,"(17.041845534070507, 462.9711368268213)"
55.63,47.55,37.49,50.57,64.16,5.6,Silty Clay Loam,"(29.030389724240095, 368.6712835328699)"
31.38,28.07,49.83,64.27,55.55,7.63,Sandy Loam,"(20.260412664409934, 169.76122453497763)"
68.65,29.04,38.09,93.08,38.92,4.37,Silty Clay,"(31.848405657244466, 495.3391340817048)"
34.7,16.7,32.86,51.93,66.19,5.22,Silty Clay,"(26.81510765710331, 291.49315831430874)"
45.13,36.43,31.68,102.28,65.21,8.29,Clayey Loam,"(15.536518429829133, 371.8065454862018)"
55.15,34.44,70.85,77.27,40.94,6.53,Silty Clay,"(23.27501941572401, 441.33203733541177)"
33.28,27.6,52.08,40.0,94.56,5.59,Sandy,"(21.814011361281423, 437.5696397497765)"
61.48,25.25,36.73,64.58,92.69,7.81,Silty Clay,"(17.90626763469971, 384.4614464503073)"
51.33,33.82,33.66,104.95,53.4,6.23,Sandy Clay Loam,"(24.660268555857044, 435.00912446292136)"
61.16,33.22,37.93,52.23,62.31,7.69,Sandy Loam,"(21.958471288576654, 179.88173610113253)"
46.92,38.77,74.05,100.09,56.05,4.05,Loam,"(28.035001769349797, 490.2719183511868)"
54.72,41.53,25.36,79.5,63.6,6.12,Clayey Loam,"(25.14242633559739, 160.38478850508727)"
43.5,48.6,38.79,135.44,74.69,4.82,Loam,"(25.311965680149793, 460.214363746953)"
43.34,23.17,71.59,49.61,26.17,6.06,Sandy Clay Loam,"(24.50745783520268, 288.72836481879085)"
46.47,36.3,48.93,93.74,63.14,7.96,Silty Clay Loam,"(22.108430574831132, 301.2887877282888)"
64.97,18.07,64.58,89.93,61.7,5.68,Loam,"(16.723646623028213, 454.10148006947765)"
32.24,20.24,62.31,81.65,84.01,7.26,Sandy,"(16.937081563440707, 259.60412163090774)"
39.94,31.9,26.9,119.73,58.4,6.84,Silty Clay Loam,"(15.082451806278362, 476.3250989126575)"
32.16,18.48,31.8,81.48,81.1,7.99,Sandy Loam,"(15.098525350526762, 332.5294718132195)"
55.3,27.63,50.86,120.13,66.6,4.34,Silty Clay Loam,"(26.04315036696119, 467.45055016274614)"
59.4,36.58,66.76,91.31,70.84,7.64,Clayey Loam,"(18.66791367198616, 404.88058227949847)"
68.33,17.69,55.64,83.79,34.04,6.34,Loam,"(16.617350214949607, 467.2355858853856)"
56.89,31.01,54.39,125.96,58.07,7.85,Sandy,"(18.049160932224982, 385.76839720913347)"
56.23,35.43,48.88,105.72,66.24,7.65,Silty Clay Loam,"(27.79185364259035, 276.54327089328785)"
69.38,35.16,40.03,61.37,78.71,6.14,Silty Clay Loam,"(28.76984223679061, 434.8364376701044)"
49.2,36.41,38.2,101.64,46.19,6.97,Clayey Loam,"(20.803931149358984, 136.92005440838588)"
36.31,28.98,70.76,87.77,63.39,5.56,Sandy,"(15.377527682549674, 471.8094454304638)"
41.6,41.93,39.63,93.63,27.6,7.64,Silty Clay,"(15.718231767306627, 226.6965064827487)"
60.71,35.52,38.24,58.68,58.44,4.59,Sandy,"(26.608595413397563, 299.01371790011297)"
49.11,30.17,28.74,93.71,22.28,7.68,Loam,"(20.405140785150987, 280.59016781942586)"
53.66,21.67,42.69,84.06,46.45,7.29,Clayey Loam,"(24.9890011005467, 308.96827456934335)"
69.81,37.4,50.58,115.7,81.79,7.25,Sandy Loam,"(31.567738633652503, 281.83813069177216)"
41.75,18.61,65.78,122.99,23.21,6.03,Sandy Loam,"(17.217803126581472, 138.90464730203257)"
67.88,15.66,45.48,49.99,39.4,7.06,Loam,"(19.53699813976265, 478.3716252718829)"
57.54,43.82,44.47,85.33,84.34,7.21,Silty Clay,"(24.27114972805176, 350.3792689584327)"
55.07,21.07,43.15,76.81,92.29,5.28,Silty Clay Loam,"(19.306772073550142, 330.2555934189977)"
41.49,27.59,48.88,54.55,59.6,6.53,Silty Clay,"(18.40053144315814, 273.01692409873635)"
58.09,45.57,72.74,98.95,80.25,5.77,Clayey Loam,"(24.00463139736401, 298.9105692444381)"
55.4,27.58,28.67,42.6,78.26,7.56,Loam,"(23.34307165410353, 346.38816171174983)"
33.56,41.65,56.24,133.81,85.69,7.62,Sandy Loam,"(24.12129405668832, 160.89695140480146)"
32.17,21.71,50.39,48.85,88.49,4.94,Sandy Loam,"(17.53635002318464, 491.8855338898491)"
41.91,42.48,36.22,56.36,65.63,6.53,Silty Clay Loam,"(21.22287495777959, 176.30898339327348)"
48.73,44.05,48.34,72.95,55.76,6.69,Clayey Loam,"(31.727687538286176, 316.99256561698604)"
63.78,46.41,57.72,76.08,47.28,4.02,Sandy,"(31.92271855638591, 182.02540195561485)"
67.45,43.26,59.73,80.0,80.31,5.54,Loam,"(19.51767243181122, 278.7841995992159)"
65.95,32.2,39.28,87.71,20.94,7.32,Loam,"(20.54734101473004, 437.286492943767)"
51.49,36.28,38.75,103.59,69.32,5.12,Clayey Loam,"(15.38433282808115, 330.9584680786774)"
50.24,24.17,73.71,109.52,82.99,4.27,Sandy Loam,"(24.252771360461328, 140.607581699607)"
58.19,48.58,71.0,123.19,84.06,5.35,Clayey Loam,"(30.403793720807514, 459.3457267203822)"
64.15,36.6,54.0,103.6,82.22,6.61,Silty Clay,"(22.63148469953449, 206.98452741528575)"
57.25,33.2,62.29,70.18,57.59,6.39,Loam,"(21.673725857252375, 462.26178632247127)"
59.14,41.17,63.15,149.99,50.59,7.24,Silty Clay Loam,"(30.171035250808128, 430.3366262866688)"
53.91,16.79,35.28,134.27,31.0,5.7,Loam,"(29.371886164456228, 269.51120579684437)"
53.59,47.66,45.0,54.45,98.89,5.62,Clayey Loam,"(19.5949710857347, 243.2331760167566)"
35.58,45.82,59.99,110.39,66.45,5.43,Clayey Loam,"(26.995490901581462, 225.67935093493406)"
55.6,36.31,63.46,93.69,44.03,5.81,Silty Clay,"(24.471997996540736, 489.7756630812733)"
37.08,36.59,73.88,98.21,34.18,4.14,Clayey Loam,"(22.283539385294652, 137.06363950696812)"
39.83,30.12,63.19,132.36,32.25,8.04,Sandy,"(31.17823836630471, 295.22637830884105)"
57.93,38.71,61.93,143.25,79.33,6.88,Sandy Clay Loam,"(25.922855473634634, 483.51797476370115)"
38.06,39.81,33.68,89.33,58.13,7.9,Sandy Clay Loam,"(20.888028690355586, 308.169548040169)"
52.12,22.49,48.37,95.66,82.19,4.76,Sandy Clay Loam,"(20.554796274137583, 264.6024588081691)"
52.85,23.21,27.89,120.79,88.83,4.57,Sandy Clay Loam,"(19.878179683452387, 122.94064610647675)"
40.55,37.83,63.34,131.5,70.16,5.65,Silty Clay,"(17.059455195768372, 215.71293551590514)"
44.31,38.58,48.81,80.8,57.49,7.97,Silty Clay Loam,"(22.89928567985625, 199.52102434397386)"
50.5,39.95,61.7,102.02,94.13,6.09,Sandy Clay Loam,"(16.847113114681427, 481.95654703942057)"
43.83,47.39,74.46,83.21,88.06,8.37,Loam,"(23.39330323920506, 337.9476430483389)"
49.48,32.97,71.02,107.66,57.39,4.26,Sandy Clay Loam,"(20.76670105802907, 151.87591541429973)"
68.76,42.14,42.47,147.37,23.3,5.55,Sandy Clay Loam,"(18.04688842636174, 312.08480167641324)"
38.32,35.26,69.71,96.87,32.93,6.28,Clayey Loam,"(21.38900217391238, 489.4034362987279)"
38.89,34.46,58.64,47.61,81.93,4.87,Clayey Loam,"(31.56349247245302, 190.67563416562723)"
54.99,29.44,58.1,99.62,93.02,5.39,Silty Clay,"(28.52228436511936, 332.4566677496059)"
61.68,36.35,60.95,52.83,78.43,4.79,Sandy,"(22.27374210369606, 497.56134391861286)"
67.92,19.99,33.59,104.48,52.77,8.2,Silty Clay,"(27.13700115676126, 440.2350586711095)"
30.74,35.63,66.45,72.67,29.24,7.62,Loam,"(20.898059755513653, 301.94243692539465)"
41.41,37.08,52.19,83.93,22.23,8.23,Sandy,"(21.190280485966525, 438.0763081828072)"
60.62,35.22,39.39,82.94,65.38,4.35,Sandy Loam,"(18.047708891134626, 121.83254575138906)"
51.44,18.83,69.02,146.51,65.9,7.48,Sandy Loam,"(23.93292542196356, 438.20333763626667)"
65.04,38.44,66.3,114.28,22.94,4.91,Silty Clay Loam,"(29.874557980929147, 440.8811097635524)"
48.61,45.48,38.32,117.11,90.43,5.52,Sandy Loam,"(19.832778842943522, 223.53529327260472)"
63.13,27.35,41.9,100.68,83.92,5.22,Sandy Loam,"(25.397949351591325, 333.6489914830387)"
60.11,30.09,30.37,142.07,38.74,7.08,Silty Clay,"(30.928847817883778, 363.0199127723615)"
53.2,43.18,58.67,97.8,25.12,7.71,Sandy Loam,"(30.28390659762243, 174.2721671835863)"
38.57,23.31,36.26,51.98,84.94,6.2,Silty Clay,"(17.7293344102503, 369.86213891116597)"
31.48,42.71,60.21,138.82,82.74,7.06,Loam,"(28.16021507157786, 452.26457190405716)"
60.44,32.91,66.74,126.5,21.71,5.24,Sandy Loam,"(24.937120983400938, 304.6963918775928)"
46.82,23.81,52.48,53.05,23.6,4.88,Clayey Loam,"(31.096755675330193, 182.81797863479258)"
51.64,38.37,60.43,69.5,29.73,5.24,Sandy Clay Loam,"(23.244569606872663, 427.30196752124766)"
56.79,39.87,64.35,116.03,73.96,8.13,Sandy Loam,"(28.842261637506038, 456.59099653089055)"
59.07,27.81,68.66,96.58,23.68,6.43,Sandy Loam,"(28.622676084050376, 471.71214307283407)"
67.11,25.35,56.52,76.88,27.14,6.32,Clayey Loam,"(29.942983129189276, 383.00105938395467)"
58.24,20.03,59.03,72.51,33.54,6.25,Sandy,"(18.476162855287996, 176.06107575272932)"
67.39,30.1,52.55,93.68,47.4,7.51,Sandy Clay Loam,"(23.83402117452993, 333.2337460650406)"
41.22,25.59,43.51,75.78,78.19,5.81,Silty Clay,"(18.318218910158087, 438.33904375218134)"
30.6,15.11,36.19,45.27,44.14,8.41,Sandy Loam,"(25.047150245827247, 266.0752674521134)"
69.83,26.21,47.66,57.29,68.51,5.65,Loam,"(20.32724567480167, 329.08840928094816)"
67.39,21.22,31.54,117.89,42.41,7.18,Sandy,"(23.10860226554162, 178.29437323376345)"
67.52,29.79,51.42,84.24,56.37,7.62,Sandy Clay Loam,"(17.318665804209278, 410.767110158359)"
60.54,19.48,26.78,144.04,78.23,5.51,Clayey Loam,"(18.066104282051594, 427.3058269538219)"
60.99,43.52,53.14,123.14,91.64,4.95,Silty Clay,"(30.404421158243885, 413.18538099865356)"
52.95,47.76,58.01,110.82,60.94,4.35,Sandy,"(21.333990122243627, 394.7260925595682)"
58.23,47.91,52.85,82.96,80.19,5.66,Sandy Loam,"(20.103872952358298, 469.3711009664459)"
50.59,36.75,67.1,113.17,90.89,4.32,Silty Clay Loam,"(29.080378506218512, 361.20564425421924)"
50.12,41.86,51.48,63.54,85.47,6.03,Silty Clay Loam,"(19.927881452867517, 489.4485836438344)"
44.13,43.44,65.95,56.27,90.67,6.23,Silty Clay Loam,"(16.53006767055149, 424.76389709260417)"
55.56,36.77,30.79,86.46,59.02,6.17,Silty Clay Loam,"(26.787059819625426, 200.05177054222526)"
51.19,35.28,48.23,63.27,64.6,5.07,Sandy,"(23.07354251114, 313.9399270160413)"
46.61,43.21,38.78,63.76,76.54,7.59,Sandy Clay Loam,"(15.17591793467288, 470.0235859660823)"
41.42,36.63,65.85,68.07,67.06,4.45,Sandy Clay Loam,"(30.60269070829272, 368.78561845868404)"
48.6,17.31,27.24,108.22,64.2,4.42,Clayey Loam,"(27.54429431940607, 473.9369214302244)"
56.85,36.46,59.87,146.75,83.64,6.07,Sandy Loam,"(28.619770805152946, 405.51825816196884)"
54.03,29.9,59.78,132.07,22.73,6.25,Clayey Loam,"(15.112566946506172, 425.56856407412624)"
49.78,47.45,46.27,53.08,88.64,6.34,Silty Clay Loam,"(28.881683902325488, 164.67599102519046)"
31.42,36.71,49.26,91.4,75.26,6.47,Sandy,"(29.088810340611992, 494.80263471352384)"
64.39,29.07,68.28,75.86,92.77,6.64,Clayey Loam,"(21.186986343839628, 279.03688666646946)"
52.81,46.78,55.5,42.77,55.28,5.85,Silty Clay,"(29.73520303574656, 226.42535095434164)"
51.12,18.95,45.81,102.7,79.6,8.4,Loam,"(18.547897993057457, 462.44291543206356)"
31.43,48.18,31.8,144.7,69.18,7.71,Sandy,"(18.74966110331503, 308.54745371340846)"
46.61,40.43,35.56,88.64,36.46,6.05,Loam,"(21.595029280174977, 346.3887847052261)"
55.96,17.45,73.88,81.05,82.83,4.74,Silty Clay,"(23.440344627606365, 260.343569492395)"
40.99,29.04,51.54,68.1,70.25,6.86,Clayey Loam,"(24.760605435246596, 289.98753922702576)"
46.52,26.76,59.84,119.88,53.87,4.22,Sandy Loam,"(17.48101075858251, 321.60990629019557)"
34.2,27.49,41.15,77.38,77.71,4.05,Sandy Loam,"(30.058837869497978, 465.74098872250556)"
46.91,34.73,58.6,111.44,64.8,8.45,Sandy Loam,"(23.13924562430161, 439.3994538601108)"
34.4,45.46,71.72,60.1,40.97,5.13,Sandy,"(16.189164266181624, 243.2446702871665)"
39.55,17.08,26.88,59.29,37.59,6.72,Clayey Loam,"(19.447556997539568, 285.1813602419811)"
31.56,35.56,62.24,75.33,47.59,6.86,Sandy Clay Loam,"(20.99029957301348, 424.4260830261054)"
53.8,39.17,53.41,70.02,55.09,7.66,Sandy,"(16.32034257455726, 288.8762259313688)"
43.49,18.32,26.97,107.54,74.61,4.52,Sandy Loam,"(17.733339081071897, 453.0341477209941)"
54.58,42.19,49.17,94.11,72.85,8.44,Sandy Clay Loam,"(24.52591630196531, 470.3133611175936)"
64.09,46.34,41.89,127.02,61.14,5.12,Sandy Clay Loam,"(29.049608971486535, 441.18664870140714)"
31.7,40.79,67.04,53.26,63.07,6.73,Clayey Loam,"(15.320368173327337, 367.17679933149907)"
65.77,37.99,30.15,64.98,33.65,6.66,Loam,"(20.236491578042063, 162.8162568378601)"
30.39,29.43,28.53,48.01,54.51,5.46,Silty Clay Loam,"(21.55319357251475, 146.03267422680008)"
67.43,48.19,72.21,146.63,34.81,6.76,Sandy Loam,"(17.5749562665875, 148.10627720100481)"
32.29,38.81,46.04,147.81,90.26,7.75,Clayey Loam,"(16.001919066760706, 266.30962808192174)"
68.87,27.61,74.68,41.15,93.39,6.43,Loam,"(17.632318136014604, 438.0677655116144)"
57.41,34.54,48.33,89.51,48.92,5.78,Sandy Clay Loam,"(17.89478757024325, 423.04356375423623)"
41.41,38.61,62.09,77.32,58.91,5.63,Sandy Clay Loam,"(23.936938554788064, 255.7252530782514)"
37.13,28.06,37.46,75.17,63.25,5.42,Silty Clay Loam,"(17.57993831650419, 390.1188880116188)"
63.98,47.81,41.36,104.3,34.05,4.64,Sandy Loam,"(30.37704880542392, 167.15160859115795)"
52.33,37.07,73.85,123.04,53.93,7.04,Loam,"(29.313587442855134, 229.26778257809008)"
34.22,47.45,65.33,98.52,57.32,6.58,Loam,"(29.67117785588794, 205.43676755057132)"
34.87,31.35,45.35,128.9,93.76,5.03,Sandy,"(23.174005715810654, 481.8482834743764)"
47.76,29.12,55.88,53.29,56.83,5.46,Silty Clay,"(30.496342223991853, 144.4945879884104)"
44.25,18.47,36.39,74.22,94.98,7.68,Sandy,"(18.18534992667691, 206.13547464340098)"
55.4,30.76,73.92,116.84,39.65,5.79,Silty Clay,"(28.533953498113426, 472.468854695148)"
54.15,19.48,41.51,53.43,83.45,5.68,Sandy,"(29.507067659305957, 371.33417915102723)"
46.58,42.71,46.76,149.06,86.94,8.43,Silty Clay Loam,"(15.449621751259473, 320.3295466105734)"
59.66,42.85,54.41,72.23,77.05,7.52,Sandy,"(19.749753821964166, 486.3911656933526)"
36.36,41.0,47.83,140.19,39.31,6.71,Silty Clay,"(15.74884079961672, 291.44287095788087)"
35.2,33.58,57.96,49.75,40.37,8.05,Loam,"(15.748804225284854, 342.8435892145866)"
50.42,23.63,33.0,49.83,35.01,6.01,Sandy Loam,"(23.482483485056655, 205.3609903442699)"
64.0,36.11,25.71,125.59,40.42,5.25,Clayey Loam,"(30.06130573922735, 192.1351546476652)"
62.29,29.86,41.05,107.17,79.49,5.93,Silty Clay,"(26.748703763537893, 139.49448223549302)"
66.38,28.49,64.94,70.6,30.45,7.29,Sandy Loam,"(28.236061071343098, 160.6427459145712)"
46.97,34.02,44.57,132.46,95.77,5.58,Sandy Loam,"(19.454347246187055, 178.77303719290177)"
49.89,45.04,36.14,128.16,93.96,7.96,Sandy,"(18.81267154001786, 469.2499509527714)"
64.57,29.01,43.58,90.0,24.48,8.35,Clayey Loam,"(26.347335625343497, 288.73087959343)"
55.42,17.22,46.01,84.26,61.46,6.16,Sandy Loam,"(17.666461869619923, 139.28284391058628)"
50.04,47.22,29.6,40.99,87.68,5.88,Silty Clay Loam,"(22.00152610969528, 419.8845128190635)"
68.14,40.87,50.25,103.82,20.72,5.3,Sandy,"(19.702197322984386, 432.2963938139017)"
50.02,23.41,26.84,46.21,98.83,5.31,Sandy Loam,"(16.784366640915966, 470.9146021140284)"
52.35,45.17,57.89,84.99,78.82,4.29,Silty Clay Loam,"(19.624087161055044, 305.48896439949215)"
69.94,35.05,38.27,70.34,61.74,6.33,Sandy Loam,"(23.387170780267653, 181.08462314254535)"
34.79,41.6,63.55,136.93,69.92,7.55,Sandy,"(21.773697742116028, 434.9684033620809)"
37.33,34.03,42.6,62.4,55.66,5.71,Silty Clay,"(17.72217193442492, 289.85991999944474)"
43.97,20.65,29.96,40.63,29.02,8.32,Loam,"(30.966504658455705, 266.64019275927024)"
50.2,16.54,64.75,148.66,42.61,6.58,Sandy Clay Loam,"(21.80769463400136, 443.34948190142086)"
44.95,33.02,71.58,74.68,84.78,4.98,Sandy Clay Loam,"(28.702736125170624, 319.3108280856168)"
36.12,42.52,61.67,46.87,77.93,5.6,Loam,"(29.701398378265324, 122.29538980298784)"
67.42,23.7,52.26,148.38,89.41,4.3,Silty Clay Loam,"(29.96924300626735, 347.3368015522699)"
44.44,15.5,64.67,88.21,51.18,7.94,Clayey Loam,"(15.192532048018178, 267.86696654972127)"
